Tract_1,CIscore,Shape__Area,Shape__Length
6037224010,20,1208390.93359375,5110.45446206422
6037224020,18,1795189.26171875,5602.81470630018
6037224410,18,655493.67578125,3879.11305989359
6037181300,11,2103940.2890625,7886.80348323814
6037224320,20,423155.703125,3109.16923594182
6037187200,16,1396212.9765625,5723.7003476028
6037224310,20,260472.28515625,2487.04129833595
6037115104,8,1490471.8359375,7499.26240255707
6037113102,5,5388101.3984375,9214.52693222001
6037113101,6,3334594.11328125,7833.55938935858
6037111206,7,3848770.1796875,8883.67069681316
6037109604,11,1722965.734375,5296.82641404604
6037109603,9,1465599.70703125,4954.25146669917
6037106648,12,1167471.5703125,5037.68856738405
6037106408,14,335617.5390625,2326.15358302565
6037106407,15,339985.5625,2340.69408946595
6037106405,10,1717776.23828125,5354.69850478333
6037104821,8,779584.50390625,4173.47030270987
6037104704,11,2434680.3984375,6261.6533286065
6037104703,13,1717635.30859375,5666.56703197542
6037104404,11,792029.953125,4037.62056442891
6037104124,8,6576797.09375,14469.0482998132
6037900102,11,653405572.402344,119304.958743674
6037910201,15,21551870.2617188,21360.6049963475
6037910302,9,6136505.43359375,11278.7826945314
6037910402,16,1681459.00390625,5352.83320195973
6037910403,15,1865194.81640625,5943.82347676804
6037910501,15,2216654.40234375,6208.58250263219
6037910601,13,3921570.85546875,9981.66195987314
6037910502,13,2967100.23046875,6961.92722785627
6037910401,9,14482445.0546875,15535.3630339415
6037910603,12,3890110.62109375,7869.8688519411
6037531301,19,1150889.91796875,5609.49008556218
6037531603,16,635917.609375,3222.38087114743
6037531701,15,927019.44921875,4233.16443750341
6037531604,16,538178.4609375,2978.01391647943
6037531800,15,904348.234375,4804.28358518127
6037531702,19,975728.77734375,4473.54193603314
6037531902,16,1032919.44140625,4159.81964992511
6037531901,16,1131067.99609375,4399.06388555042
6037106643,4,6358711.1953125,12071.1620925089
6037482600,11,4145861.27734375,9047.97245892784
6037134306,13,909181.93359375,3815.194187141
6037482800,13,4625087.41796875,11230.0413607352
6037431001,8,2575990.94921875,8421.88938173382
6037460100,5,8313861.625,16402.9769031879
